Krzymosze;5101880
Krzywda;5101877
Krzywin+Gryfiński;5101595
Krzywizna;5101887
Krzyż;5100030
Krzyżanowice;5101874
Krzyżowa;5101885
Książki;5101780
Książno;5101801
Księginice;5101784
Kubice;5101821
Kudowa-Zdrój;5100031
Kuklinów;5101830
Kuleje;5101824
Kulice+Tczewskie;5101838
Kulin+Kłodzki;5101639
Kundzin;5101823
Kunowice;5100083
Kunów;5101833
Kupienino;5101835
Kurów+Suski;5101796
Kusięta+Nowe;5101837
Kustrzyce;5101795
Kutno;5100032
Kuźnia+Raciborska;5101843
Kuźnica+(Hel);5101827
Kuźnica+Białostocka;5100033
Kwiatki;5101855
Kwidzyn;5101850
Kwieciszowice;5101849
Lachowice;5101920
Lachowice+Centrum;5101955
Laliki;5101924
Lasek;5101918
Laski+Lubuskie;5102049
Laski+Tucholskie;5102113
Laskowice+Oleskie;5102111
Laskowice+Pomorskie;5100128
Laskownica;5102107
Lasocice;5102104
Lasów;5101933
Lednogóra;5101979
Legionowo;5101981
Legionowo+Piaski;5100323
Legionowo+Przystanek;5102099
Legnica;5100035
Legnica+Piekary;
Leluchów;5101985
Leńcze;5101987
Leokadia;5102038
Leopoldów;5102097
Leosia;5101990
Lesięcin;5101958
Lesiów;5101994
Lesko+Łukawica;5102052
Leszczydół;5102115
Leszczyny;5101991
Leszno;5100036
Leszno+Górne;5101998
Leszno+Grzybowo;5102003
Leśnice;5102106
Leśniczówka;5102062
Letnica;5102118
Lewickie;5102150
Lewin+Brzeski;5101950
Lewin+Kłodzki;5102041
Lewki;5101995
Leżajsk;5101997
Lębork;5100129
Lębork+Nowy+Świat;5102068
Lędziechowo;5101969
